Commutator,Original 1-Norm,Blissed 1-Norm,Original variance,Blissed variance,Optimization method,term
3^ 2^ 0 1,14.590032174339312,14.593979123632753,9.921056300500544,9.921030060475296,Nelder-Mead 100k Iter,"(1, 2, 3, 7, 26, 27)"
6^ 3^ 7 0,9.112470653264012,8.947509594341605,5.451232546173008,5.6472600905231,Nelder-Mead 100k Iter,"(3, 7, 13, 15, 26, 27)"
4^ 3^ 5 2,4.578259191116348,4.574860121300516,6.065857109483026,5.875247041136518,Nelder-Mead 100k Iter,"(3, 7, 9, 11, 26, 27)"
