Commutator,Original 1-Norm,Blissed 1-Norm,Original variance,Blissed variance,Optimization method,term
3^ 2^ 0 1,7.62810579493454,7.598478722960472,2.7707364458727213,2.6962146353315704,Nelder-Mead 100k Iter,"(2, 3, 5, 7, 22, 23)"
6^ 3^ 7 0,5.434384447799853,5.396804968795704,2.362783342313858,2.4235022181620836,Nelder-Mead 100k Iter,"(3, 7, 13, 15, 22, 23)"
4^ 3^ 5 2,2.7625678754522522,2.7621521523758643,1.8775709118368258,1.927249155048076,Nelder-Mead 100k Iter,"(1, 3, 7, 11, 22, 23)"
2^ 5^ 1 6,5.465095687092003,5.435118771867635,2.538590100927621,2.4361078488123384,Nelder-Mead 100k Iter,"(2, 3, 11, 13, 22, 23)"
0^ 7^ 5 2,5.478357253402026,5.412898278191023,3.4620019049197768,3.219078051832092,Nelder-Mead 100k Iter,"(3, 5, 11, 15, 22, 23)"
1^ 6^ 0 7,1.5989882502402712,1.5873626456928336,0.9681049352996711,0.9897615355274236,Nelder-Mead 100k Iter,"(2, 3, 13, 15, 22, 23)"
3^ 6^ 0 5,5.8118283616668815,5.792477625349059,3.078214271577687,2.5659672205839557,Nelder-Mead 100k Iter,"(3, 7, 11, 13, 22, 23)"
2^ 1^ 3 4,6.162779241821958,6.049037616344516,3.491004120773075,2.986057683379906,Nelder-Mead 100k Iter,"(2, 3, 7, 9, 22, 23)"
